severity,code,sheet,excel_row,allocator_or_lps,vehicle_or_entity,message,suggestion
high,MANDATE_LIKE_COMMITMENT,Commitments Database,74,KEPFIC (Kenya Pension Funds Investment Consortium),KEPFIC-facilitated housing + infrastructure investments,Commitment row contains mandate/planned/member-only language.,Move to Pipeline & Mandates unless there is public evidence of an actual allocation.
high,MANDATE_LIKE_COMMITMENT,Commitments Database,82,Asset Owners Forum of South Africa (AOFSA),SA infrastructure + alts mandates,Commitment row contains mandate/planned/member-only language.,Move to Pipeline & Mandates unless there is public evidence of an actual allocation.
high,MANDATE_LIKE_COMMITMENT,Commitments Database,119,Public Officers' Defined Contribution Pension Fund (PODCPF),Mergence Lesotho unlisted investment mandate (PE & infrastructure),Commitment row contains mandate/planned/member-only language.,Move to Pipeline & Mandates unless there is public evidence of an actual allocation.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,7,Eskom Pension and Provident Fund (EPPF),Multiple PE funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,10,Nigeria Sovereign Investment Authority (NSIA),Nigeria Infrastructure Fund (NIF) direct deals,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,15,Stanbic IBTC Pension Managers,Multiple funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,16,ARM Pension Managers (Access ARM Pensions),ARM-Harith funds (intra-group affiliate),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,19,The Sovereign Fund of Egypt (TSFE),Various Gulf-Egypt platforms,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,21,Caisse de Dépôt et de Gestion (CDG),CapMezzanine III,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,22,Caisse de Dépôt et de Gestion (CDG),InfraMaroc,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,23,Caisse de Dépôt et de Gestion (CDG),Mediterrania Capital II/III (historical),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,26,Mohammed VI Fund for Investment,Sectoral co-investment funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,27,Government Institutions Pension Fund (GIPF),"77 indirect funds (covering PE, VC, private credit, infra, RE)",Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,28,Government Institutions Pension Fund (GIPF),Stimulus Investments Funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,29,Government Institutions Pension Fund (GIPF),"Eos Capital funds (Allegrow, Euphrates, etc.)",Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,30,Government Institutions Pension Fund (GIPF),OMIGNAM unlisted programmes,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
